,H013-PiG:LAnkleAngles,,,H013-PiG:LElbowAngles,,,H013-PiG:LHipAngles,,,H013-PiG:LKneeAngles,,,H013-PiG:LShoulderAngles,,,H013-PiG:LThoraxAngles,,,H013-PiG:LWristAngles,,,H013-PiG:RAnkleAngles,,,H013-PiG:RElbowAngles,,,H013-PiG:RHipAngles,,,H013-PiG:RKneeAngles,,,H013-PiG:RShoulderAngles,,,H013-PiG:RSpineAngles,,,H013-PiG:RThoraxAngles,,,H013-PiG:RWristAngles,,
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
11,4.65142,8.26606,-29.8364,39.4784,0,2.22E-12,67.6865,-12.0123,29.275,67.6603,39.7003,15.5288,29.7712,19.8247,32.4405,-5.44041,5.1672,172.216,-6.05757,46.8501,111.519,-11.4723,-0.86418,-5.86196,39.6054,-3.98E-16,-1.83E-12,83.5641,-0.0682632,-7.54539,85.7542,-19.3028,-7.74334,19.0724,18.2469,15.9417,9.40033,-4.55047,-4.54145,-5.44041,-5.1672,-172.216,45.737,22.0352,40.5097
12,4.64949,8.2719,-29.8521,39.4798,4.77E-15,1.61E-12,67.6835,-12.017,29.2935,67.6488,39.7237,15.5376,29.77,19.8243,32.4404,-5.44109,5.1675,172.215,-6.06213,46.8446,111.515,-11.4719,-0.863026,-5.85127,39.6087,1.19E-15,-2.71E-12,83.5653,-0.067301,-7.54499,85.7542,-19.3031,-7.75475,19.0694,18.2464,15.9372,9.40026,-4.55115,-4.54358,-5.44109,-5.1675,-172.215,45.7399,22.0167,40.4984
13,4.64809,8.27803,-29.8687,39.4811,-2.39E-15,-4.68E-13,67.6805,-12.0218,29.312,67.6374,39.747,15.5475,29.7689,19.8239,32.4397,-5.44183,5.16774,172.215,-6.0654,46.8393,111.512,-11.4714,-0.861959,-5.84139,39.6117,-2.39E-15,3.02E-13,83.5666,-0.0665258,-7.54474,85.7545,-19.3034,-7.76515,19.0667,18.2456,15.9323,9.40026,-4.55177,-4.5455,-5.44183,-5.16774,-172.215,45.7448,21.9974,40.4885
14,4.64718,8.28441,-29.8858,39.4824,-7.95E-16,-1.37E-12,67.6774,-12.0264,29.3304,67.6263,39.77,15.5583,29.7679,19.8234,32.4383,-5.44266,5.16794,172.215,-6.06735,46.8343,111.51,-11.4709,-0.860989,-5.8324,39.6144,0,9.48E-13,83.5679,-0.0659216,-7.54463,85.7551,-19.3035,-7.77448,19.0642,18.2445,15.927,9.40031,-4.55233,-4.54719,-5.44266,-5.16794,-172.215,45.7515,21.9774,40.4797
15,4.64671,8.29099,-29.9035,39.4836,-7.95E-16,-1.12E-12,67.6743,-12.031,29.3486,67.6152,39.7928,15.5699,29.767,19.8229,32.4363,-5.44359,5.16811,172.215,-6.06827,46.8294,111.509,-11.4702,-0.860117,-5.82434,39.6168,3.58E-15,-1.08E-12,83.5691,-0.0654939,-7.54463,85.756,-19.3037,-7.78268,19.0619,18.243,15.9213,9.40047,-4.55287,-4.54867,-5.44359,-5.16811,-172.215,45.76,21.9568,40.472
16,4.64663,8.29769,-29.9216,39.4847,-3.18E-15,-2.11E-12,67.6712,-12.0355,29.3666,67.6044,39.8151,15.5821,29.7661,19.8224,32.4337,-5.44463,5.16827,172.215,-6.06828,46.8247,111.508,-11.4695,-0.859347,-5.8172,39.6191,-3.98E-16,-6.04E-13,83.5704,-0.0652053,-7.54468,85.7571,-19.3037,-7.78977,19.0599,18.2413,15.9153,9.40074,-4.55341,-4.54996,-5.44463,-5.16827,-172.215,45.7701,21.9357,40.4654
17,4.64688,8.30445,-29.9398,39.4858,0,-1.68E-12,67.6681,-12.04,29.3843,67.5938,39.8369,15.5946,29.7653,19.822,32.4305,-5.44581,5.16843,172.215,-6.06762,46.8201,111.509,-11.4686,-0.858675,-5.81098,39.6211,7.95E-16,-1.49E-12,83.5717,-0.0650414,-7.5448,85.7585,-19.3036,-7.79579,19.0581,18.2393,15.909,9.40111,-4.55392,-4.55106,-5.44581,-5.16843,-172.215,45.7816,21.914,40.4597
18,4.64741,8.31121,-29.958,39.4868,-3.98E-15,2.20E-12,67.665,-12.0443,29.4016,67.5834,39.8583,15.6074,29.7647,19.8215,32.4269,-5.44714,5.16861,172.216,-6.06659,46.8156,111.51,-11.4677,-0.858091,-5.80557,39.6229,-3.98E-16,-1.31E-12,83.573,-0.0649862,-7.54494,85.76,-19.3035,-7.80085,19.0565,18.237,15.9024,9.40163,-4.55447,-4.55199,-5.44714,-5.16861,-172.216,45.7943,21.892,40.4548
19,4.64818,8.3179,-29.9759,39.4877,3.98E-15,1.70E-12,67.662,-12.0486,29.4183,67.5732,39.879,15.6202,29.7642,19.8211,32.4228,-5.44866,5.16884,172.216,-6.06555,46.811,111.511,-11.4667,-0.857585,-5.80088,39.6245,1.19E-15,7.63E-14,83.5742,-0.0650192,-7.54509,85.7616,-19.3033,-7.80506,19.0552,18.2344,15.8957,9.40232,-4.55503,-4.55277,-5.44866,-5.16884,-172.216,45.808,21.8698,40.4507
20,4.64912,8.32446,-29.9936,39.4887,-7.95E-16,4.33E-13,67.6591,-12.0527,29.4346,67.5634,39.8991,15.6328,29.7639,19.8207,32.4183,-5.45035,5.16912,172.217,-6.06427,46.8065,111.512,-11.4656,-0.857143,-5.79678,39.626,3.98E-16,-7.51E-13,83.5754,-0.0651276,-7.54521,85.7634,-19.3029,-7.80859,19.0542,18.2316,15.8887,9.40319,-4.55565,-4.55342,-5.45035,-5.16912,-172.217,45.8225,21.8476,40.4471
